Categories of Institutes,Year,Postulants,Novices,Professed religious with temporary vows,Professed religious with perpetual vows,Temporary professions,Perpetual professions,Departures from religious life,Deaths,Candidates admitted to probation period,Membres incorporated temporarily,Membres incorporated definitively,Lay people associated with the institute
Autonomous Houses,2017,1597,1583,2696,36064,737,323,219,1084,NA,NA,NA,NA
Autonomous Houses,2018,1666,1486,2721,35259,717,329,201,1096,NA,NA,NA,NA
Autonomous Houses,2019,1609,1447,2669,34666,534,283,205,977,NA,NA,NA,NA
Autonomous Houses,2020,1628,1368,2738,33909,588,285,222,1036,NA,NA,NA,NA
Autonomous Houses,2021,1584,1329,2749,33557,522,267,219,991,NA,NA,NA,NA
Autonomous Houses,2022,1504,1296,2670,32913,493,335,225,932,NA,NA,NA,NA
Centralized Institutes,2017,13101,11167,34822,413239,5058,4349,2492,12425,NA,NA,NA,NA
Centralized Institutes,2018,13374,11142,33796,404284,4767,4125,2297,12409,NA,NA,NA,NA
Centralized Institutes,2019,13399,11009,33497,395346,4751,3770,2321,12021,NA,NA,NA,NA
Centralized Institutes,2020,13173,10955,33707,384288,4941,3670,2226,14272,NA,NA,NA,NA
Centralized Institutes,2021,12598,10809,33195,374779,4708,3763,2381,13023,NA,NA,NA,NA
Centralized Institutes,2022,12025,10496,32614,365439,4630,3530,2303,12216,NA,NA,NA,NA
Secular Institutes,2017,NA,NA,NA,NA,NA,NA,NA,NA,887,1307,14491,14043
Secular Institutes,2018,NA,NA,NA,NA,NA,NA,NA,NA,891,1262,14052,13384
Secular Institutes,2019,NA,NA,NA,NA,NA,NA,NA,NA,811,1227,13629,14381
Secular Institutes,2020,NA,NA,NA,NA,NA,NA,NA,NA,753,1224,13118,14513
Secular Institutes,2021,NA,NA,NA,NA,NA,NA,NA,NA,842,1159,12974,14735
Secular Institutes,2022,NA,NA,NA,NA,NA,NA,NA,NA,795,1117,12408,14783
